content_type,topic,title,views,leads,cost,cpc,ctr,cvr,lead_cost,roi2,source_period,source_level
图片,SmartBI素材类型汇总,图片,91268.0,13.0,16137.539999999997,11.848414096916297,0.014923083665687864,0.01762114537444934,1241.3492307692306,0.2933596688322277,,素材类型汇总
自投视频,SmartBI素材类型汇总,自投视频,39781.0,3.0,9163.060000000001,8.476466234967624,0.027173776425931977,0.011100832562442183,3054.353333333334,0.5267958953898327,,素材类型汇总
搜索,SmartBI素材类型汇总,搜索,26900.0,6.0,10083.539999999999,12.327066014669926,0.030408921933085503,0.013447432762836185,1680.59,0.0,,素材类型汇总
